Roll No	Name	Marks	
93038	ID6ZZUVUHFA9UTGD63	93
62865	3H9FPQQDXHMPUGIM6Q	37
21590	IWQKUYP8MJKN5FKE4Y	15
46382	L8LTEIJU0JFOZKCJWO	96
386	D21NXJHA8YY44JGSO1	83
70118	ZHDLFRARDDTWZP724U	53
337	UDWK5FZMPDV03HEE5U	45
37471	BLAZ6ZQPU20Z0TLY3J	96
83835	MNUTGSU24D7YW84HM1	81
82559	VNCFIHF76NEEHSMRG4	33
56234	S6Z06FQNYR94BYD528	27
22337	0P7I4QYE58ELWB10SF	83
22529	EBZH9900GECWALKU2D	28
95874	DT3ST0YGL268Y1SD6K	61
63360	AC3G7RQZB1IC7DQGNY	86
7224	L4OZK0X7851N79HNQR	31
11104	ZRHTXGY9J1TOLFC6LE	11
12833	HWZJSBL7A1XST8BH7Q	15
87641	OM3AK2WX31TGTDMU0U	11
30169	ZYO7VG46R04AQKKS29	58
89380	4TAA2KV9M08B2A5EA4	48
10726	C3K9KOGN9II48LUB33	5
31482	8J7T19DJD4OO5JG6NW	39
81326	KWQ0BKHHUPAC03D6WM	54
3515	PWMVKX2CZ6I6QBYA1T	54
64360	Q0VDR2XNER04KDUL6R	16
82474	JATQVH0FOS8KW9JGOL	24
7344	8V2T6KJ59DRTXZW91E	48
16981	8RMB3J404TLFD69556	10
24723	ITE7C1XWJ3APQ80L8U	76
40659	HCSBPKFFZME6HEGXHL	60
23114	4YPN9XDKZWMPLFHQO6	62
52583	34KNUVCDXC2HP3F2XA	67
52260	VIE1Q7447IOR1MT93T	79
14081	7JE7005ZQKBYT93259	14
89020	IBSSAQICR7O4CCN4D0	6
23011	866YHDKPNWN2SWB69H	67
62442	OJ8XLZENRW2GL1L6UD	53
54176	1N9TMAHVPFORJEOZH4	18
14357	F26EWQ5SH1D5QNRN75	55
78912	RE2X3Y523D7252SS7Y	77
70502	2UI7QKD16FWA7ZI85W	51
93697	A9HZJ4H15WNPSLAPMW	3
56792	P9DUFM28JIM82IVDF9	0
53720	BP3UY77BB62J0SCRT2	35
9963	3MW9DN9MSXJXH108UO	14
56629	RJ324ZSXWCGEEP7EH9	20
41911	OK13NPAI29ZY681POJ	42
2948	RWISNJCM699FFM3HYR	15
84254	3IGNE8FT9A0I3FP0EY	90
76624	5R7F0OUX8ECDMMMNYK	37
83418	BPOG34K2LF9VSR3YXU	20
36066	CED0OOFZQX34Q395NF	56
36310	YORKYGC0N6XFIRQ0FM	97
45031	8Q8CAKUW11Y8D3MGN0	41
7385	CLFEZE4Q368LE4XK3B	70
12015	6KK2PEC88DST4VGB9L	52
12764	GWMFUJP2NQC30KJPO0	47
87154	TMMAL0I3ZPH6H9NR3D	19
95933	UY0G0DQ1V3R7DIXAO7	69
23757	0XHOE19GSWD098Z1R2	0
53356	I2YY2654DD0HXC1BU2	42
81802	DU0X0WU303JRC0PTZD	47
70467	MTRPHGCACYLPT9ZK0S	50
7710	RK591TFX0VN4IEETZ3	89
94674	ZS7DK38FBKH3FEODBY	1
80715	N5PZ7023HYM64X25E4	51
85624	DIN0480SYP4PQCU69K	80
2662	T07UO7I3ZRU9817I4A	62
87470	PIE9JCM03OKKOJVYOF	38
56019	H35H3POZZ5USDDZ5B2	52
53405	5467MBUI9K0GBYBH8N	89
67244	3C0Z5OR6K8MHC9WKX4	13
80976	XZJLR9V751JUT6P69U	53
45184	JZ086K5KGGOTP6NJ7T	5
98276	S1H4PKXPTPRGMN2BSX	65
9529	KRFHIZB4AEXU7Y6AY5	69
14011	TMGB2IJWI84KUIRLR9	32
18006	IV9QUX7CW8O7I2TRQF	8
8176	CDEJKWLNG95FZK05BT	11
79222	WRCJG95R4Y1ZKHVCCW	55
60421	T6RU52IA0CB175I6QG	54
14230	36KCJQGUPHLE2TQJ1L	21
67449	SJVI16N5R14C5XSCBT	89
7762	QTZKRH2FNGPER8BU5C	99
91797	HB7XSF3I0Y9HZSD4HX	38
86152	1X3GE5R12HZTNJD50E	0
15653	JMNWY74TLS7PSZS6OH	45
60090	JV0EN19XT378HVCXZR	29
16996	6AN9QK8AUE8DESPVNA	92
44017	0W1415ZOK0UW3XQGNR	7
6256	QA4MPWL7OKK2UOIQV4	80
32383	ABZUL98OINY1ZGK529	54
70332	5FEW4UITDLGEH2P1B0	40
2045	EXXPII5F5JDDXWQ19M	31
43780	XLP224BQ3BLX5VO3Y4	5
20851	HJFLL58Q9NBY20NR2O	38
39035	R5DQS8XR152356Q5D6	27
94998	TKPPZ1M1DBNQ5NWBKI	86
56577	HU77HUPIHKG4Q3DC2N	68
53259	IG9E9GZPXQQLGX6DWM	29
79569	X37EMTGLWPN06ZFOXE	15
89098	RXG3LEFW769ZUWLV72	88
57654	X9HV0S71AHD26FJ60W	1
83069	T8DSJVBYVNVE1H7T6Z	60
28349	BO0CURB2582BZRC857	0
46536	CKG8N8RSPUCMXUAZ8I	84
5829	W1QC45A2W3A5M4ZIUH	8
67171	U9ORVIW7QWIOMQ72WC	39
91667	PXX3TY98ESRQTNB8LT	98
50819	ZTEN64XRL8BOMTBY8L	41
54114	GTU67Y88FSTFXOVLDZ	79
71927	B6UHOB4GBKC40UZ1N2	18
27352	JT2C7HUDPKRKDXKPNS	15
78861	DQAX0Q3ITDSX4DJ8V2	11
95700	H25PWORYF6NDKS8OI3	77
2068	Y23BO9Y9MQ018QNUZP	66
64196	XZ9CHZCM0Y93EZLDPP	96
89373	U1HDBJ3KHBD7DYDIPI	88
48018	SMDUW6NL3Y1X9H41EB	23
7035	BGV5RJSD9QJZ8KKB6X	42
38046	66H58U0UIB61BPE8ZR	89
24617	9EZWYNJI6OQ4QWDTUI	82
23847	LHS3QV9ACA4K61P23M	82
22378	GRS64LG7EPRU2S8IQS	44
48899	M5C0C17MUQSC57O79W	31
34988	L3X9IKM1QWFZ88NQSH	1
99471	EQ8T29CP0KNNPQ6EMZ	30
33574	SWW50EGVE27MLAMOKX	51
70656	6PJ6FQB62URI5X8RE6	79
15392	KXNGRJ3XJ3ERBW03XJ	63
84663	YXHH5TKOTG96ZG55KB	75
60562	SJLQXLW2SYWR5T7U37	28
17298	2VH6O46YH92YIOPPN8	93
32581	HVU0RLYJIM3ZM8SYAB	37
63584	U23C9O45FJTJ2B0M4N	48
34261	7GQXSYZ60MTD2CXV9G	75
75949	M1T6NR7OKOSXWQCY2V	19
34616	4LR39M4CVWJS6B22FL	89
81243	E02CJ4RQB7B5O0P1DR	69
5592	HJ5K42NLI83DONDFHN	28
49201	2NOU96OI1F4KDND9JU	42
8540	JWKE9YBATMQKLNOJA1	27
90093	4QL8H8PDJ21O0W6BO5	46
88293	KZ3G376ZYDJXXE0S15	72
20758	233K706Y7XV98SFTXM	45
27668	5SSZB0Z9Z5INCZ0SS4	2
60013	ZKDOIRRLRTA6XIUDGV	39
48073	J8G0JQ4TH1WZZ5HN4B	96
69665	2D20Z9XPHDAY558958	27
13414	UT60U7XJFI0J5V1XXD	42
20129	229LWE9T385EN7X8I0	71
48913	P5C6YOQGGUDKAH7S0G	18
37132	JZY75FO1VHUK2J3JIR	38
20537	Y59MHEODT35GFYT58C	29
70884	IWNSVNAHO7NPNCEQMC	71
52624	MII2T50Z1ZZOGIYW0V	57
9729	BMBZM2UA9FU9DUZTIR	82
85143	QGI0I3PP46TWANS3KA	0
45506	X9GN5VVBMNV0PVM9KS	10
94743	A1WMI66RWSXGSY6H98	79
30111	8KVQI04PC7L3ZTEQEP	46
25227	PH152RJITXZUL4GIUT	73
55674	LYG166D2P23KKSKKF4	20
2844	K2ZWQXDCC98IJJMDLR	86
22067	UFUY1SOS8AD1ZHD4PW	4
19460	0NDJQAOZ2NEZHWR63M	88
99547	VK2KNVXK45ODQE8PE6	69
64563	HEM9B5MEID1DHC0O44	81
65440	TDYTKMG88GPGKKYQXZ	87
4944	NF2R8ZMIV0VNZX1Q0I	71
18279	NZMTS0NGTIF3B5R6SF	65
11159	YWBP0A3F3V6UZGPY4Q	98
57367	UJF24I92Y3KYRGYVWE	65
3105	PNXGSJ2PDLP9FCXQGP	40
43218	AZZ6K2EIA3VVKVZL61	63
10881	KP3BP0ALDJ5H4JME16	19
62143	XW6MS5GISYQAN1H8SD	91
90155	48OHNMKUFED4765EOA	91
37506	W3BPMDEAC6DOELH2N2	80
13423	G457X6XR0A2LH1AUEL	70
87630	LCIYKQUK4VV2IXRL1E	34
69123	WN350OFC50WW3ZBN2I	70
19057	9R06Y30YPB8CPA8RMG	14
20030	JC3TZQ2IDY26XWHX56	27
89581	DQ1DYMEJRD1XM2RH4R	13
89313	OGGI1A334VPCGBULV1	82
7206	UC7N8ZZBJJLTI9DH6C	83
86160	AXQKI2X431Y8BFZ4CA	58
30935	VKBRDPAV3PKZ5XRFXR	35
88062	UVJM2FTVSYX0AOMQIM	94
62143	QTVX4UV0IS4OVRVAV5	85
28775	O44G3X3U8MZ9JFLWML	83
68441	IFQ001VC6UOW6JFRVB	95
45398	C0UIFBTJI58KINTWMZ	68
17098	A5RC1HB2ASLKD2NPEN	40
62599	O7U5CTQF9PYWUOOTWN	64
7572	YM02TNQ9XXCBBMPMJB	99
16295	49XL5UVOKPUXM89P3O	5
67943	L4A2BJN0E75NLAFQMM	61
57815	09AKHDI2RCI8AK4TUW	39
47926	H4KH4NAS58B8S28RQC	64
25776	T6S6SSQK2L9XCQ5CB1	87
2663	NH42QSJ75VXMP9J8PJ	8
39808	PO9ZNGIXBB55CILV0B	34
62276	C4KUNXDA83365Y68X1	74
2386	KO4YU13DJA7P6NLBMX	42
62575	VMM15NU70D76BXLKK5	27
66700	4I03KJX66XH9V887LQ	53
84051	AMWQGIXZX77JLX3FQ1	10
65394	N0OVJ4X9HUBY2CTC4F	25
21205	WUSFZO572H57R4LQYY	15
51496	KFBGVXFIMMD2ME9OEE	12
82153	HR3J5QACGHZOH9PU9Y	49
49140	26IZWVGA2ASKOGF26R	8
84449	48U9B83ICEOEN09Q72	63
63426	8KZWKSJ7P0WPSEBT61	15
35040	L6UUIUOEARIZYMZR53	76
83841	XE7ZEK7JMTNHU1DGOV	41
85901	YS6V4ZW1MODCLAM95M	9
20490	D7XH4KSMILPLPL206U	95
59811	VGLIO4QWHHGDVBW4KB	59
43265	BEX1S5LK6TXKTIH5V2	45
46405	0OCUWU96ZOF7RUOIMA	74
58453	V7VUNPH659BS7UOSP6	83
56911	2G2FFBQXW1WIM1ZJNQ	20
16097	YCAX1UXIPCO3GENKNY	6
60552	QZ3Q1FVHFYVKY7JE80	83
38101	9ERHONZJJT2AI6UFJ6	37
73107	YL1VK7DCELJZ7C8VRK	47
88334	ZSJDFB016Z1QGTTQO1	51
81956	0ZHZ5GA0EOP2STB24Z	44
42017	NU91L7MEQP4SCDSOTE	97
53263	0R3C4IC1VESKAXWGZ9	97
19320	0ZDIHF55CEL605X6TL	93
55965	3KOZQVK9GTIEMCONB2	9
97267	6G5C79W45MM0KSY4YE	51
18136	LXPQHWEH1UOQFO56MS	71
29392	JN2798UXX8IBRDIQGS	66
17414	ZFGWUS66KMKNQC5C9B	93
83589	7K1USESUSMPIOUISL8	58
75282	1CRSJFQKW5GQ813B6F	9
22857	4J2JIL80E4L9HBICZT	17
85093	6WGPE5SBJ3OD8WN2RW	61
82994	OEXTBGUPZ4PE5FZG58	97
75988	JBBHPQH3IEMDBK1WOW	17
46714	DALEH0BZJ3LQHVJC8Z	91
82611	QQKC0S51XI4VI0D9Z5	75
54043	KW2B0NRKW3UDAGHNX5	2
49543	T7E658L0EGOIYW7RF9	7
89177	LJ4QALO5CEAH2B2VN2	10
94265	X4XD3XNWZTZWCDT9KR	69
54207	U2I4T0HDTIWDTA8XIY	91
15623	0IQYFO9IE6KQ64SLRD	81
99841	1YJ3BB714BTQCZ17DD	49
41940	FPPIOSDVSZQTALAHD5	25
62176	JYG746SF9LP392ENFD	22
67680	J5SJ1MV28NIJ7CNL36	22
33101	6MIM15W59H64UFRECG	89
5938	DU6595GIF9YY5Q6UXD	20
80581	1VFM6LWIKT5SN8HIJD	42
27537	DVECNB6BZ2T0Z63G7G	64
4730	CHCTX2O02JSLFPZXD3	59
36722	BMU5X96OH6FJ829VVM	89
35378	5UDP21UQA6E3UQ9KCU	26
62988	V8GUK40D4M62HDZZ4M	75
84936	J3YAECF4S11R6IDK6R	8
77415	S0ESY6GG8DYYUNKIQV	25
75729	XPLV18ZL8Q4JNWBSXW	39
89011	40Z6N4B1X6LMQB3BXT	65
52505	TY8KF395HJAT6XALUH	15
9621	XK7KOJQ66T70JZ43MA	54
86700	JX1Z2D3NF0HLBBO89A	44
13372	8MM79PXY4VB3I8DFYG	89
57808	Q9A7IG1L7YRJ89B8Z3	27
38322	PKOT9SKGOR6FV2F8WS	82
32111	VZGA577HU74R3MK4GF	86
81070	2LZKDGXECXGOE3D8YG	38
29075	0N4FL1KY72XIEXDZ1B	95
45830	AHT6HWZWBG2W40QVI1	62
96586	OCRWX5H0GS9MBPD2BI	97
86593	FBWSR4K0ZS6QJYGAFC	3
95657	8FT7W8XLOQI4949QEE	32
2155	JLH0SORUCFRRUSQJA5	41
8173	MOVIYRR91GL5XNJKV0	75
10466	ZSQD3DRG07L9VSZ12J	27
96604	0HLYBKT7Z1URXZZZXO	99
90733	VUGLK3CSTFMDEZ2G27	20
89546	9HUSS2H0JRK0AWFMSO	37
76332	HWRGGSKFWYG8VJ1GT3	88
89560	SC175K5F0P9GB390IF	77
58410	J4WH7P5LKNLWP1W76A	28
82199	QGKIS1XCAYIWSB6R7S	35
55247	N9A21C59GL0PKW7N6O	29
94537	JW4IJ5SLA0UFVFOONK	88
38834	W7G8QD4HMFFK0BGC5K	73
41256	ERZ68FKTXPKX9DIBME	11
56044	A89STS42UAAPEN335Z	65
73121	XOR40DWC7SYC2PTKO2	41
27719	ZWP9PEB7FP2W42O5HL	84
10488	DJQJ6317RGXZ5916DV	42
41622	CMP9MUWUUNY4H29UZJ	47
59215	O2KDN8CJ48H1QQJRGO	18
30078	EOMJLL7OOVAS355OQC	70
62113	LHY3UL1Z1ARO28JVTG	44
51634	65S9NTSFPUTQV5Z1DG	26
33960	SSTG4DWVGL82SAHKBP	51
50332	GNT9WZREDXSCEFWC7M	85
51838	NE5992A6AWE3DAJOYE	62
63447	53PND9K7RCCLFIN42O	84
45249	OBU8ZCK55IQT8I15BX	90
70042	E26QTZJODO042ES4J0	79
41456	IVN9S422RPH8PMFF30	12
40111	5OO362JKU5GEG4XM9K	84
75634	XUDQH8N3FBODSKT9EI	52
28417	43ABHT30MFPXMXFX4K	10
17622	LBA9XYAKXQB4YAJ8T3	46
59283	JHR74ZZM1L97W57L4P	65
56820	CLUVZBK3IM6NTBG97A	39
21134	MRPX5VUVW4315XO61Z	85
60434	HU5ZTRY4VL5NZRX9RQ	96
49779	JLU3WXJHMSSASTYPUW	95
19523	ERSHQE2INRAUNWJH70	15
67054	MWAETWE71AHCC9ZW4X	71
51275	G5ZU07OAT5BM9PKAOD	12
18411	2QLXCE15CLC70USY1R	35
93757	1TTXY4CTEYEG5921J2	12
2979	0I1MY0EK7UX17G4FNQ	32
19685	8AY4Q0DI6XU8KEKU04	0
5294	31HPPTY9WICL1743LI	92
81345	G382LPWOB9OCXSHOP8	28
30940	5GIFGRYR8B9WJUY802	49
23850	X5TQW8IY5UEHTFIWYJ	54
5279	AKRHA44E13GTGRVNBJ	66
37233	78OGXTCQ35UBEKYY4U	6
31200	V7SFQX6MN0M408EDXP	68
27844	5A77LVEVCIG2NZZ1WK	49
60754	ZFOR94KH7WQD6WAUV8	31
31631	WIDLJ2XHSWHEMJQ3BB	72
79588	Q9VJRRQ2UMD5IKWDJZ	55
69247	GRDZS395Z9YKY882J9	31
99247	OLP1C52MROX2C2EXJY	74
43139	XTW6Y2Z8OGEBUPOYGD	90
65167	T22CO9PH2MLR2OWHF5	3
4299	XLL9PMU5Q7RL8HR7VF	94
63823	GVOKD6O54B2YDZQUSE	54
31122	DR38BPH1R9QW9QBYOZ	85
45533	EFPCFH93DPLU6YVTAV	87
78808	PIN3JWRVRP4MTN8QWK	33
9852	RUS4310R2JVJFMT0D4	89
86536	8AL0DWFN73IXWV7K9L	40
41401	C9S1DPL60D75TMIOQL	84
87801	0TC8Y8BZF8PJB2H6Y4	2
23317	YZEO8PUT3Z2AKFPCNP	10
81551	3T4W5P3LXXZBR0V8P7	63
90976	951IWKS8C8ZX3SRQDO	4
62209	1O3K20LZC17Z4I91EO	88
95591	RMY384F9H6QFB9GZX5	45
28693	O68QXFNWU58PL4RD96	60
88676	NK97SRCZ2KVRF6N81J	89
24136	US6LSXJM3LRJ2DSFND	68
48724	16MCN4NPP4XSY5MP4V	40
71754	SKAZ3SLC98J7K4IHJK	84
98247	JCG8PAHN8NFR8ZSNOR	25
56293	QKXDELIMHQGV6LL0TL	48
4624	DL4VBMZI6D55P8VC8O	25
57342	LCJH26FHAF014ABUTX	80
88635	WHVJUABUIQDDG9WUMF	17
22933	1DW9QC53O4Z6QO1WQM	81
6718	M2O6P4537RVF6D6UW4	9
30343	M3F7EBKCYB6V94ADKE	86
89576	OT250M0SM4BK36GV6Q	75
34387	TARGQW2642LTSI8LGV	78
97783	CVV7KYOL8XA2D1DSMK	52
35513	R51AHGKHE7GHCIN9OB	83
74470	3BJXWEU3T7FWNBDCIT	42
9309	YLJIPKDW8SNLNKR463	80
39554	GXSE71OMPM94MEU6WR	92
30603	KWMYBW4V19IAJIOVUS	48
89758	2CY6BBMIJTR0TRLIN9	22
15637	IBG3CEH9034AORN428	80
60029	KKLWUFTTMYHNA02T9G	20
27480	V6H75CJ7PRKZFPAX5B	3
36844	8ZERZQRLSPODJPM9LH	99
53181	U58N3208DDWWV1ISNG	56
64946	E614X47AEXSC4HVK1S	71
62299	O821ELMXRHOMS4CRXN	93
99807	8TJ5IDGDE20QS403XK	40
54297	RW952600JDFC870W72	47
44066	HQO8PRQSTUPD6GZH05	4
17393	3O2QBQZ6YSL18YGZZL	67
38743	VVR5H2VKN1BBQYWU2U	77
47568	JSOQ0CNROQGA1KS1Y6	52
95069	MHTBAIW51VKEMATAD3	68
57882	678G2FFTTZSXCIXOPM	66
89862	Y3LJMWMHO5B4HLW66B	55
70443	IME16FWV3GECE7GFI4	7
95975	TZR52BG92P7J0KA1ST	98
96344	WBNGAJ0O82LSWNZBZA	84
84815	FF9CY0E3Q4MKEQGXVH	33
3924	H6SM7WE2HMLAGPMKCS	33
1525	WPEE5FFQZDWEG2VG13	3
66095	7AIOBNJNRRIBKNQ333	22
53962	RXWMVPYIAWZXR8V4XS	78
7384	OELHUSQNV8UL728EAP	62
66637	7IGEU2IROKJCWO5CHJ	96
57027	7MLPLFGFLXNJQWXTLM	74
52253	AD7HGUW3UNG7PIJ2I7	47
66949	Q200XPJF1Z5MHTEK8L	58
38441	2E9UUYM0BSQION1MJM	42
14844	SLQ4CWV7SVSJT23T20	57
7587	OSYNMP2D60IOZ8XJ85	40
844	MXHWJRIVHKIUU1XYAY	30
64148	SVOAT2M8EADD6651N8	17
97220	HGMLKQUSKHQME64SF0	44
37897	H10OJB04ZW57T2BKJC	43
87679	TVJAQZXT2NKRIH0I1W	74
59658	4CLHKJF0VZKJMDERKP	63
65479	LK6ZU3NONLH6RE21I0	48
30667	BQ6EHJ2HJGYUUEYQ91	22
88883	ZV8K09X5FY50R0XUXE	98
62012	A746Q3V08Y2JMNLTUC	24
13073	FN4L6ZU0DT0CPDHMCA	99
8795	S4DI0X6QY4MUQF0OVS	48
35615	I3A5QQ5JDK36TEBW7E	87
51306	2L1ZDTLCMGI5TDR3CM	33
80531	ZNOP1UVISJ5RY51VB4	45
96986	YT146HMY0OWMLW8FPP	40
5819	CAW5209EG4L1IR81ID	33
74598	2I0TXXE3FZ8EONLDQM	38
78079	7QWW2H936QOY9MO58S	82
12477	HN65PBI7W0EDHTBLJW	79
43074	N25EF1SHTISSA71ZYV	32
71991	CM6SKDMVWOEJ994JH7	7
39431	7YLAWH84JGL4IF23LY	36
63464	LZTAAR7LGFAB33MM3A	0
65519	RQBCSWTJITNOH9X86A	85
42003	55BUV2ZK4VYCSNYOBB	76
41217	PS4BVIVV9MCT32JFTX	71
41398	VWAUVNT9XL3NZZ9PZC	43
24483	OIPWNXUKSOXWQDRW36	23
32931	RUWJZBYRKKX3B6HDHQ	74
6341	OB3OUQU4YFB5DT5W8Y	27
22190	JNQ1M3ZZMZ3KKQS6ZX	96
15389	90UAY5OZF8V13OWAYD	40
41154	NMF8Q27XKSKDFDK33S	66
236	2ONY4VXCQGBKEOJ6H2	74
91791	F2JIP8VKI6M39OYLS9	31
54688	64304JTQ33O21BBGXI	83
66526	FS02D6DA2DZ6YPBZ3E	25
75507	XD6SD1XDOYTKSD8CEL	20
14149	LBQPSG85WHD9IGIOL3	63
75536	HSA7JMOR65Z3FTNI6H	93
9013	MWOYPUG1UQZ1H1MZVB	20
32917	SMJYA4YRQM3ESSMD6F	76
80240	5CO8AOXT8ODHCI8J6U	21
54324	5M2THY0Q73G5YI16U8	10
71993	SAQQTMJLAFDU2TP7ZJ	79
19956	DNAWUW6P9QKJ8BEQFE	50
76388	CXXVNMHH82ZO9NKSE1	64
8277	TT9FQD6I8XG75G8T9U	35
3820	7T8O1OZ7YNG6L6A7XR	68
70897	EWQAISE1PHJSEJ5EXI	53
63555	R7PKEYQBINANPNNP2A	12
46525	V4V6YI0ZPXQJZLMUDH	55
68644	GUDF5CSSN14IFHQU4T	2
63599	8G123UH845NFU13SW4	12
70948	KR7ZR62RKBGVGUAD06	56
83097	E9OBWDWOU2Y8LDGNA2	55
95591	MI3795C4THEASNUX3W	68
66515	RWJV04YBXWWSQ4C6XA	58
58287	I8T2KG1K76WB0FO2XF	65
36471	MXHBJ0CI54H59I71M4	28
14288	UYL1XXYMP6XT2XGJOW	42
26150	39B1GYQ8CZ7E9Z8D1X	47
39934	NMRKCS9OFB0U7I142W	83
76872	WTGLHYYH9KB5W6JZUL	42
55528	EW83A7OUDAKMJ1LXUM	0
93553	HUTZLEMR3LO4HPNJWS	66
56094	W40VG9QGGJEI49E3DL	1
72702	EK80RWP7BBBTE3EGOT	16
42925	7MAS4Z8J69JBDMA88A	55
88287	XHWAG98Q1NHWI42SFD	35
89451	71ZEDYUZNO29W00B3R	43
69135	05WOK4TXG150XMGSAW	16
11949	WRGYN9H0IULRH5OBUV	73
72254	E98ATX8D2EDO9YLQ6O	76
46071	HMZXF41L8BH5HOD38M	61
48944	CMIMKW6QE2Z28NC8UP	25
77643	TCUFDYKXJ5GQMYBABN	33
78973	CMZLJOU9DKPW4JVBGT	65
26978	5JIS33TBOLPQQ4X0OW	90
10233	IDPDYVX3MYNP9GU1ZD	36
62233	YFCVG2XVXBOEP79UGA	22
54159	T6F0XCRBJFECIW4CVK	13
60067	KTD3BJOPPY1EK3QPHB	43
30823	LNZNMTL34HSPRSLXFW	5
10940	UPZS8I2E9DN5OFGT6K	95
30791	LB6BGJ9HQX5OX0DZW0	33
60253	NVWHVGW9CSGDAA0BTA	11
29397	DO65R04YHPKQXZU1JT	54
57739	JGEHF6FR1NAG7O3BI0	58
93306	363NG8I94FEWIN4DCJ	62
79466	XUUG1H0KH5RNQZU1ZA	14
73473	TA64UQTBJQ42KDMC5X	72
13712	WZMK8V2L23D3T80BB6	26
61503	UFNQ7MNGCQNPPZ97WI	12
7700	Z52QEQC3E2K1RHVSB8	49
8045	0N8C2G3EV1QB8VNRXF	71
1828	KUJDXM5DL2VKISQTXH	22
88689	5193MDE0NOQKU6F9AK	95
95862	TTYBS1667KH3JJX1A8	18
74459	VR06PSO65E63ZWRZTA	76
94390	Q10C6DPL7S9339SK6Q	78
49387	IQD4ZCU15J7S61X38G	90
88543	5JT70TCI9JERFB2OYY	29
21519	N48EOZOPMCNUFHW341	14
74501	GZI4NORFXYKN3UIBU9	38
28010	B8NDPK4WEP8F3TABFU	72
85806	PFN69TRSGD3Y6UHH0G	59
51601	ZETH6KQYYRXHMP85KX	79
45889	JFKTT5L8UPDA0G8JRY	28
22511	BINX6756AVZSGE80KS	41
31638	79HBPTCTE2WP5VEMWD	63
16392	OGSJA7XZQUYA7SFE43	73
98285	JCETY57BWFMN5EJVN2	61
90234	BS0WOBDXWFA9BZ8PBS	68
52123	ZI8V5TVTT2EJAQRZTJ	13
48319	85RH9H6KHRPJYHO2NI	68
36095	A9VJH5D59IOX2UEKDY	16
36719	S7MADCKVHI9M49JGZG	12
47571	G0E016Q15YYM1PNTF4	37
23075	A9DEPA1ABNFR4WLVA2	44
96958	JBPEK5TVC26C8DQ2CU	23
51764	TK8T58MYWVOJE3RSM5	91
84742	DM1JQNWF1TQOUW1TIM	70
67074	VECJKDRKXJDSEYEOWW	64
94371	ORT5GP5AQUMC4MAM2V	75
55280	US19A491WTTXYVFK71	64
61230	ZPTT2P2CY98LXPYCWJ	85
7053	GY5KVC3DE0O2MNBSMA	12
